Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Grasim Industries Ltd.,Grasim,Construction Materials,Eq,1320.0,1350.0,1305.3,1320.75,1345.7,24.95,1.89,516506.0,686565600.5,1929.8,1276.6,-11.88,-7.55
Grindwell Norton Ltd.,Grindwell,Capital Goods,Eq,1676.6,1703.05,1645.15,1683.05,1680.0,-3.05,-0.18,15338.0,25625196.6,2018.35,1161.0,35.52,-1.81
G R Infraprojects Ltd.,Grinfra,Construction,Eq,1105.55,1105.55,1080.3,1100.55,1093.0,-7.55,-0.69,6544.0,7140616.48,2267.65,1078.85,-11.06,-22.37
Gujarat State Fertilizers & Chemicals Ltd.,Gsfc,Chemicals,Eq,131.3,131.8,127.1,132.0,130.6,-1.4,-1.06,1507206.0,194535078.4,198.8,98.1,14.09,-20.82
Gujarat State Petronet Ltd.,Gspl,Oil Gas & Consumable Fuels,Eq,220.4,221.95,215.55,217.9,217.95,0.05,0.02,882222.0,192994884.7,379.2,209.45,-34.64,-14.38
Gujarat Alkalies & Chemicals Ltd.,Gujalkali,Chemicals,Eq,683.3,692.95,664.4,689.35,689.0,-0.35,-0.05,215330.0,146672029.5,1044.7,401.0,71.35,-14.21
Gujarat Gas Ltd.,Gujgasltd,Oil Gas & Consumable Fuels,Eq,419.0,425.95,416.7,418.85,423.0,4.15,0.99,1078048.0,455033280.3,786.0,403.55,-36.61,-25.11
Happiest Minds Technologies Ltd.,Happstmnds,Information Technology,Eq,826.4,826.4,813.0,828.95,816.8,-12.15,-1.47,227373.0,186004756.4,1580.0,785.6,-17.44,-8.41
Hathway Cable & Datacom Ltd.,Hathway,Media Entertainment & Publication,Eq,16.3,16.45,16.1,16.25,16.35,0.1,0.62,670321.0,10886013.04,28.7,14.35,-37.26,-10.22
Hatsun Agro Product Ltd.,Hatsun,Fast Moving Consumer Goods,Eq,874.7,886.25,869.75,881.15,875.0,-6.15,-0.7,88204.0,77170561.64,1525.95,837.6,-1.4,-4.76
Havells India Ltd.,Havells,Consumer Durables,Eq,1099.85,1120.0,1092.25,1098.2,1111.65,13.45,1.22,1848135.0,2049858935.0,1504.45,978.0,12.04,-8.62
Hcl Technologies Ltd.,Hcltech,Information Technology,Eq,964.5,981.45,964.2,973.25,979.05,5.8,0.6,2827579.0,2746681965.0,1377.75,944.05,-1.04,-6.49
Hdfc Life Insurance Company Ltd.,Hdfclife,Financial Services,Eq,549.95,567.3,540.55,550.0,567.0,17.0,3.09,2052291.0,1143741774.0,775.65,497.05,-19.86,-8.17
H.E.G. Ltd.,Heg,Capital Goods,Eq,995.8,998.95,963.3,997.85,984.9,-12.95,-1.3,69104.0,67787568.8,2629.0,890.8,-54.45,-11.08
Hemisphere Properties India Ltd.,Hemiprop,Realty,Eq,105.85,106.0,102.75,105.3,105.0,-0.3,-0.28,462015.0,48266707.05,165.9,95.0,-23.67,2.43
Hfcl Ltd.,Hfcl,Telecommunication,Eq,55.15,55.7,54.25,55.15,54.95,-0.2,-0.36,2275417.0,124943147.5,101.35,51.55,-18.3,-12.39
Hinduja Global Solutions Ltd.,Hgs,Services,Eq,1075.0,1080.55,1050.05,1067.1,1074.1,7.0,0.66,180181.0,193514394.0,3920.0,846.0,-11.06,11.13
Hikal Ltd.,Hikal,Healthcare,Eq,239.85,243.6,234.15,239.0,238.95,-0.05,-0.02,386423.0,92262355.48,742.0,212.0,-51.31,-27.67
Hindustan Copper Ltd.,Hindcopper,Metals & Mining,Eq,86.1,88.75,85.65,87.1,88.3,1.2,1.38,2962596.0,258130989.5,159.4,81.2,-39.56,-17.13
Hindustan Zinc Ltd.,Hindzinc,Metals & Mining,Eq,246.0,249.0,245.35,249.35,247.75,-1.6,-0.64,310474.0,76659135.34,408.6,245.1,-26.51,-17.15
Home First Finance Company India Ltd.,Homefirst,Financial Services,Eq,746.95,748.0,726.05,743.7,733.95,-9.75,-1.31,37017.0,27411828.84,921.3,525.05,37.4,-4.41
Housing & Urban Development Corporation Ltd.,Hudco,Financial Services,Eq,34.8,35.0,34.6,34.8,34.85,0.05,0.14,544695.0,18949939.05,56.15,30.6,-34.4,-3.2
Icici Lombard General Insurance Company Ltd.,Icicigi,Financial Services,Eq,1120.0,1150.0,1105.85,1120.95,1144.0,23.05,2.06,228217.0,258033551.1,1675.0,1071.0,-28.47,-11.45
Icici Prudential Life Insurance Company Ltd.,Icicipruli,Financial Services,Eq,489.0,502.45,484.2,489.0,501.75,12.75,2.61,757837.0,374288115.9,724.3,430.0,-20.19,-6.25
Indo Count Industries Ltd.,Icil,Textiles,Eq,131.25,138.0,130.4,131.05,136.5,5.45,4.16,387980.0,52474295.0,315.0,119.55,-22.98,-12.05
Idbi Bank Ltd.,Idbi,Financial Services,Eq,30.9,31.0,30.6,30.8,30.85,0.05,0.16,3091913.0,95076324.75,65.25,30.5,-18.73,-15.96
Ifb Industries Ltd.,Ifbind,Consumer Durables,Eq,903.0,903.0,885.8,899.6,894.9,-4.7,-0.52,6449.0,5766953.76,1365.85,800.0,-11.98,3.77
Indraprastha Gas Ltd.,Igl,Oil Gas & Consumable Fuels,Eq,357.15,361.9,352.6,355.9,359.95,4.05,1.14,1103024.0,394121505.4,602.05,321.0,-36.19,-5.9
Iifl Finance Ltd.,Iifl,Financial Services,Eq,323.5,335.0,317.15,323.75,333.5,9.75,3.01,526247.0,172893189.4,396.0,242.9,-11.06,0.76
Iifl Wealth Management Ltd.,Iiflwam,Financial Services,Eq,1488.5,1550.0,1458.95,1481.05,1543.0,61.95,4.18,191551.0,288908711.3,1908.3,1122.35,27.2,-5.45
Indian Hotels Co. Ltd.,Indhotel,Consumer Services,Eq,222.1,228.1,220.4,225.15,226.3,1.15,0.51,3902317.0,873104405.6,268.95,129.17,59.17,-4.19
India Cements Ltd.,Indiacem,Construction Materials,Eq,156.5,161.8,154.65,156.5,160.55,4.05,2.59,2206090.0,350724188.2,259.95,145.45,-18.47,-7.45
Indian Bank,Indianb,Financial Services,Eq,148.35,150.75,146.65,149.85,149.65,-0.2,-0.13,746419.0,110776043.8,194.95,115.1,3.56,-11.57
Interglobe Aviation Ltd.,Indigo,Services,Eq,1610.55,1667.0,1591.6,1606.2,1651.8,45.6,2.84,692564.0,1130735392.0,2380.0,1511.75,-6.45,-12.64
Indigo Paints Ltd.,Indigopnts,Consumer Durables,Eq,1404.5,1405.0,1372.7,1395.65,1388.0,-7.65,-0.55,12205.0,16919913.55,2709.0,1353.6,-44.45,-12.79
Indoco Remedies Ltd.,Indoco,Healthcare,Eq,368.25,372.95,365.65,367.05,370.0,2.95,0.8,21554.0,7949977.36,530.25,322.7,-11.06,3.94
Indusind Bank Ltd.,Indusindbk,Financial Services,Eq,793.0,810.0,783.0,794.35,808.0,13.65,1.72,2796110.0,2241976920.0,1242.0,763.2,-21.84,-14.66
Indus Towers Ltd.,Industower,Telecommunication,Eq,210.0,210.9,204.5,209.1,208.35,-0.75,-0.36,2187045.0,453177594.5,332.8,181.2,-12.38,3.62
Infibeam Avenues Ltd.,Infibeam,Information Technology,Eq,13.9,14.1,13.4,14.1,13.6,-0.5,-3.55,2029884.0,27667318.92,28.05,12.5,-72.81,-4.41
Inox Leisure Ltd.,Inoxleisur,Media Entertainment & Publication,Eq,509.1,525.0,503.0,508.45,523.2,14.75,2.9,441730.0,226943204.8,563.6,291.0,64.71,0.98
Intellect Design Arena Ltd.,Intellect,Information Technology,Eq,635.6,659.0,623.35,633.35,658.95,25.6,4.04,329488.0,211271000.5,986.65,562.65,-12.51,-5.89
Indian Overseas Bank,Iob,Financial Services,Eq,16.45,16.8,16.1,16.45,16.6,0.15,0.91,718064.0,11840875.36,29.0,15.25,-41.35,-10.11
Ipca Laboratories Ltd.,Ipcalab,Healthcare,Eq,890.25,914.25,890.25,897.5,912.0,14.5,1.62,154987.0,140412022.5,1383.1,831.05,-55.71,-0.57
Irb Infrastructure Developers Ltd.,Irb,Construction,Eq,203.0,205.9,198.0,202.25,204.0,1.75,0.87,636428.0,128240242.0,345.85,148.05,25.31,-8.42
Ircon International Ltd.,Ircon,Construction,Eq,35.95,36.2,35.8,36.05,36.15,0.1,0.28,190000.0,6838100.0,53.4,34.8,-26.13,-9.99
Indian Railway Catering And Tourism Corporation Ltd.,Irctc,Consumer Services,Eq,576.2,585.8,575.7,576.2,578.3,2.1,0.36,1928361.0,1117909439.0,1279.26,404.29,-71.67,-16.81
Indian Railway Finance Corporation Ltd.,Irfc,Financial Services,Eq,19.7,20.05,19.6,19.65,20.0,0.35,1.78,2510750.0,49687742.5,26.4,19.3,-20.93,-7.31
Icici Securities Ltd.,Isec,Financial Services,Eq,427.1,429.6,412.0,428.9,413.5,-15.4,-3.59,570584.0,237003476.1,896.05,408.4,-33.08,-4.05
Iti Ltd.,Iti,Telecommunication,Eq,100.65,103.0,97.15,100.65,98.8,-1.85,-1.84,1243276.0,124091377.6,143.8,81.0,-23.43,9.58
J.B. Chemicals & Pharmaceuticals Ltd.,Jbchepharm,Healthcare,Eq,1578.0,1587.0,1558.9,1572.65,1563.0,-9.65,-0.61,15467.0,24327425.62,1985.0,1342.2,-5.56,-3.26
Jindal Steel & Power Ltd.,Jindalstel,Metals & Mining,Eq,326.2,334.6,322.05,329.25,333.0,3.75,1.14,4320099.0,1419973340.0,577.8,304.2,-17.16,-12.86
Jk Lakshmi Cement Ltd.,Jklakshmi,Construction Materials,Eq,416.05,423.45,412.0,420.25,416.95,-3.3,-0.79,92645.0,38667243.65,816.0,366.25,-27.22,-5.34
Jk Paper Ltd.,Jkpaper,Forest Materials,Eq,298.0,309.75,297.05,295.7,303.25,7.55,2.55,2270069.0,691690024.3,387.4,191.25,39.55,-12.06
Jm Financial Ltd.,Jmfinancil,Financial Services,Eq,61.5,61.5,59.5,60.95,59.65,-1.3,-2.13,368055.0,22193716.5,117.7,57.1,-31.13,-7.02
Jindal Stainless Ltd.,Jsl,Metals & Mining,Eq,100.0,100.6,97.35,99.8,99.8,0.75,0.455,492895.0,48845894.5,224.4,95.05,-8.98,-10.89
Jsw Energy Ltd.,Jswenergy,Power,Eq,204.3,207.75,199.0,207.95,205.3,-2.65,-1.27,662114.0,134740199.0,408.0,161.4,23.96,-24.83
Jsw Steel Ltd.,Jswsteel,Metals & Mining,Eq,556.55,580.5,556.55,564.5,577.5,13.0,2.3,3737790.0,2128073359.0,790.0,520.05,-17.46,2.4
Jubilant Ingrevia Ltd.,Jublingrea,Chemicals,Eq,485.5,490.85,473.05,485.85,476.0,-9.85,-2.03,163007.0,78083613.14,838.75,401.2,-7.18,-4.0
Jubilant Pharmova Ltd.,Jublpharma,Healthcare,Eq,348.8,349.0,281.8,343.7,340.0,-3.7,-1.08,71858.0,23945959.92,767.0,281.8,-53.06,-10.55
Justdial Ltd.,Justdial,Consumer Services,Eq,560.0,569.1,551.05,565.25,558.0,-7.25,-1.28,194406.0,108597135.7,1138.0,520.0,-41.18,-14.55
Jyothy Labs Ltd.,Jyothylab,Fast Moving Consumer Goods,Eq,148.35,152.5,147.5,149.65,150.0,2.85,1.94,771549.0,115686057.1,187.3,130.15,-3.33,0.44
Kajaria Ceramics Ltd.,Kajariacer,Consumer Durables,Eq,947.7,965.0,937.2,947.7,952.0,4.3,0.45,72125.0,68652902.5,1374.9,885.3,-3.29,-8.24
Kalpataru Power Transmission Ltd.,Kalpatpowr,Construction,Eq,354.0,358.75,353.15,356.7,354.85,-1.85,-0.52,17142.0,6076667.58,496.0,331.8,-16.23,-1.07
Kalyan Jewellers India Ltd.,Kalyankjil,Consumer Durables,Eq,58.5,61.8,58.05,59.9,61.3,1.4,2.34,501257.0,30220784.53,83.6,55.05,-23.45,-0.42
Kansai Nerolac Paints Ltd.,Kansainer,Consumer Durables,Eq,372.35,375.0,368.3,370.5,370.05,-0.45,-0.12,269671.0,99896925.24,675.0,358.15,-35.59,-7.42
Karur Vysya Bank Ltd.,Karurvysya,Financial Services,Eq,44.95,44.95,43.7,44.95,44.25,-0.7,-1.56,1017461.0,45022649.25,60.7,38.4,-13.06,-6.01
Kec International Ltd.,Kec,Capital Goods,Eq,393.15,393.15,384.1,391.25,386.1,-5.15,-1.32,149531.0,57938776.57,550.0,345.5,-13.59,-1.22
Kei Industries Ltd.,Kei,Capital Goods,Eq,1152.55,1208.0,1152.5,1152.55,1200.0,47.45,4.12,340326.0,406628311.3,1377.35,687.5,66.21,-6.77
Krishna Institute Of Medical Sciences Ltd.,Kims,Healthcare,Eq,1182.0,1233.45,1167.0,1184.55,1210.0,25.45,2.15,44951.0,54397452.65,1565.0,937.55,25.08,-9.68
Knr Constructions Ltd.,Knrcon,Construction,Eq,230.5,236.15,228.75,233.05,235.7,2.65,1.14,58500.0,13689585.0,343.9,207.5,-2.31,-10.37
Kotak Mahindra Bank Ltd.,Kotakbank,Financial Services,Eq,1645.0,1679.5,1636.0,1661.1,1678.0,16.9,1.02,2300514.0,3822234996.0,2253.0,1626.0,-2.62,-10.06
Kpit Technologies Ltd.,Kpittech,Information Technology,Eq,512.0,514.95,495.4,517.65,500.9,-16.75,-3.24,940281.0,471738977.7,801.0,245.2,99.33,-2.39
K.P.R. Mill Ltd.,Kprmill,Textiles,Eq,516.0,516.4,506.5,515.65,508.5,-7.15,-1.39,121702.0,62085058.28,769.0,304.0,-66.13,-17.94
Krbl Ltd.,Krbl,Fast Moving Consumer Goods,Eq,217.0,218.8,215.3,217.85,216.7,-1.15,-0.53,62909.0,13657543.9,337.95,184.5,-7.49,-0.86
L&T Finance Holdings Ltd.,L&Tfh,Financial Services,Eq,67.0,68.95,66.3,67.6,68.8,1.7,2.53,3855009.0,260752808.8,95.95,58.5,-27.23,-10.82
Latent View Analytics Ltd.,Latentview,Information Technology,Eq,332.0,336.8,330.3,333.95,335.15,1.2,0.36,212311.0,70890642.9,754.9,305.25,-11.06,-16.67
Laurus Labs Ltd.,Lauruslabs,Healthcare,Eq,464.0,467.1,459.5,464.7,466.8,2.1,0.45,443092.0,205311109.1,723.75,436.8,-32.52,-18.11
Lic Housing Finance Ltd.,Lichsgfin,Financial Services,Eq,326.9,339.25,319.9,327.35,337.0,9.65,2.95,2366258.0,784012263.1,476.55,291.75,-30.35,-13.4
Macrotech Developers Ltd.,Lodha,Realty,Eq,1060.05,1070.95,1045.0,1069.0,1068.7,-0.3,-0.03,39067.0,41512984.87,1539.0,645.0,56.37,10.41
Larsen & Toubro Ltd.,Lt,Construction,Eq,1560.95,1576.0,1534.6,1558.25,1571.8,13.55,0.87,1294305.0,2016255386.0,2078.55,1456.35,3.85,-5.82
Lupin Ltd.,Lupin,Healthcare,Eq,613.1,630.55,608.7,610.95,627.3,16.35,2.68,908035.0,561083906.9,1191.55,583.0,-46.83,-1.24
Laxmi Organic Industries Ltd.,Lxchem,Chemicals,Eq,283.0,287.35,280.6,284.65,287.0,2.35,0.83,338168.0,96235849.44,628.0,219.6,29.18,-22.65
Mahindra & Mahindra Ltd.,M&M,Automobile And Auto Components,Eq,1092.4,1113.35,1064.0,1093.15,1107.0,13.85,1.27,2839545.0,3101862167.0,1121.45,671.15,40.56,5.68
Mahindra & Mahindra Financial Services Ltd.,M&Mfin,Financial Services,Eq,176.05,179.7,171.05,175.4,177.2,1.8,1.03,2173337.0,380899042.6,206.35,128.0,11.65,-1.63
Bank Of Maharashtra,Mahabank,Financial Services,Eq,15.6,15.7,15.5,15.55,15.65,0.1,0.64,892261.0,13910348.99,26.3,15.0,-38.78,-11.9
Mahindra Cie Automotive Ltd.,Mahindcie,Automobile And Auto Components,Eq,233.0,233.1,226.1,233.1,229.95,-3.15,-1.35,276850.0,63426335.0,312.0,163.95,-1.89,19.63
Mahindra Logistics Ltd.,Mahlog,Services,Eq,474.0,474.0,455.0,471.65,461.0,-10.65,-2.26,17972.0,8287068.92,821.0,391.1,-14.55,2.67
C.E. Info Systems Ltd.,Mapmyindia,Information Technology,Eq,1399.9,1421.25,1373.2,1411.9,1407.0,-4.9,-0.35,83012.0,116391955.3,1917.4,1128.8,-11.06,6.27
Marico Ltd.,Marico,Fast Moving Consumer Goods,Eq,478.0,493.0,477.6,477.9,492.0,14.1,2.95,846365.0,411604226.8,607.7,455.65,-9.97,-10.45
Max Healthcare Institute Ltd.,Maxhealth,Healthcare,Eq,364.6,367.05,357.0,366.95,360.05,-6.9,-1.88,326670.0,118052004.6,458.05,250.6,44.18,-3.52
Mazagoan Dock Shipbuilders Ltd.,Mazdock,Capital Goods,Eq,246.7,249.95,241.55,246.25,249.1,2.85,1.16,68727.0,16861482.18,342.4,221.1,1.34,-11.02
United Spirits Ltd.,Mcdowell-N,Fast Moving Consumer Goods,Eq,760.5,791.5,754.05,759.75,787.1,27.35,3.6,2124003.0,1649755610.0,1019.95,629.1,14.83,-6.13
Multi Commodity Exchange Of India Ltd.,Mcx,Financial Services,Eq,1305.95,1324.45,1275.5,1307.95,1282.95,-25.0,-1.91,433916.0,564494341.9,2135.0,1143.0,-14.04,-4.64
Medplus Health Services Ltd.,Medplus,Consumer Services,Eq,770.0,770.0,750.0,767.3,750.1,-17.2,-2.24,10669.0,8052107.68,1343.0,708.0,-11.06,-11.22
Metro Brands Ltd.,Metrobrand,Consumer Durables,Eq,600.0,631.25,600.0,598.75,617.5,18.75,3.13,582857.0,359389626.2,673.0,426.0,-11.06,0.39
Metropolis Healthcare Ltd.,Metropolis,Healthcare,Eq,1400.0,1439.95,1397.05,1406.45,1435.1,28.65,2.04,100318.0,142381337.4,3579.9,1378.05,-50.4,-12.98
Max Financial Services Ltd.,Mfsl,Financial Services,Eq,782.35,808.4,772.15,782.35,802.2,19.85,2.54,320516.0,254855092.2,1148.05,696.5,-26.22,-1.55
Mahanagar Gas Ltd.,Mgl,Oil Gas & Consumable Fuels,Eq,760.55,771.0,757.05,760.6,770.7,10.1,1.33,170132.0,130261565.8,1212.0,665.8,-33.08,0.56
Mahindra Holidays & Resorts India Ltd.,Mhril,Consumer Services,Eq,213.5,231.0,211.1,214.4,227.0,12.6,5.88,1395618.0,315423624.2,274.9,165.43,-14.26,-3.01
Minda Industries Ltd.,Mindaind,Automobile And Auto Components,Eq,925.0,947.0,900.0,923.15,943.7,20.55,2.23,178456.0,167143674.2,1257.4,629.15,44.15,0.09
Mmtc Ltd.,Mmtc,Services,Eq,39.4,40.35,38.9,39.2,39.35,0.15,0.38,1476769.0,58435749.33,64.7,31.0,-30.74,-4.51
Moil Ltd.,Moil,Metals & Mining,Eq,141.6,142.9,140.7,140.1,141.85,1.75,1.25,95406.0,13533341.1,201.9,137.3,-27.13,-13.01
Motilal Oswal Financial Services Ltd.,Motilalofs,Financial Services,Eq,754.1,766.0,745.0,766.5,753.3,-10.2,-1.34,27524.0,20773739.0,1188.0,714.0,-2.22,-3.33
Mtar Technologies Ltd.,Mtartech,Capital Goods,Eq,1279.0,1279.0,1238.95,1271.25,1241.0,-30.25,-2.38,104163.0,130305829.7,2563.3,1010.95,12.78,-10.9
Muthoot Finance Ltd.,Muthootfin,Financial Services,Eq,980.0,1048.3,977.1,976.3,1039.8,63.5,6.5,1982052.0,2016083833.0,1721.95,960.4,-34.11,-14.59
Nippon Life India Asset Management Ltd.,Nam-India,Financial Services,Eq,270.6,273.9,269.05,271.25,272.0,0.75,0.28,205261.0,55794045.02,476.45,259.0,-25.93,-4.49
Natco Pharma Ltd.,Natcopharm,Healthcare,Eq,652.0,653.0,642.7,649.8,647.0,-2.8,-0.43,48437.0,31447237.88,1189.0,607.75,-42.46,-5.96
Nazara Technologies Ltd.,Nazara,Media Entertainment & Publication,Eq,670.0,676.9,638.3,671.4,649.9,-21.5,-3.2,302182.0,197974537.3,1678.0,475.05,-55.68,-44.79
Nbcc (India) Ltd.,Nbcc,Construction,Eq,28.5,28.8,28.1,28.4,28.8,0.4,1.41,1801802.0,51189194.82,55.5,26.55,-47.36,-15.35
Ncc Ltd.,Ncc,Construction,Eq,54.05,55.95,53.1,54.1,55.2,1.1,2.03,2281956.0,124389421.6,98.5,52.2,-37.71,-16.19
Nesco Ltd.,Nesco,Services,Eq,550.0,555.5,545.6,550.85,553.6,2.75,0.5,12047.0,6631150.68,696.8,501.95,-9.09,1.71
Network18 Media & Investments Ltd.,Network18,Media Entertainment & Publication,Eq,68.2,68.75,66.5,69.0,67.45,-1.55,-2.25,1455769.0,98468215.16,117.5,46.0,37.86,-8.61
Narayana Hrudayalaya Ltd.,Nh,Healthcare,Eq,634.1,644.35,631.5,632.55,640.0,7.45,1.18,50400.0,32060448.0,777.0,468.3,28.5,-3.38
